cell_type,CD3D,CD2,TRBC2,CD79A,MS4A1,LYZ,CD14,KRT14,KRT1,MLANA,PMEL,DCT,TYRP1,DCN,LUM,COL1A1,CCL21,PROX1,CDH5,PECAM1,PLVAP,TPSB2,CPA3,DCD,SAA1,LTF,MYH11,ACTA2,MPZ,CDH19,ADIPOQ,PLIN1,FABP4
Keratinocytes,0.00743310208126858,0.0147670961347869,0.00832507433102081,0.000495540138751239,0.00118929633300297,0.00852329038652131,0.00723488602576809,0.372447968285431,0.31615460852329,0.0221010901883053,0.0416253716551041,0.0385530227948464,0.024380574826561,0.251536174430129,0.0775024777006938,0.236769078295342,0.0110009910802775,0.00465807730426165,0.00733399405351833,0.0242814667988107,0.00465807730426165,0.0112983151635282,0.00862239841427156,0.101387512388503,0.0136769078295342,0.00465807730426165,0.0894945490584737,0.0331020812685828,0.00416253716551041,0.0232903865213082,0.0020812685827552,0.00564915758176412,0.0203171456888008
VascularECs,0.00554854981084489,0.0181588902900378,0.00680958385876419,0.000756620428751576,0.000252206809583859,0.0100882723833544,0.0209331651954603,0.0337957124842371,0.0544766708701135,0.0199243379571248,0.0216897856242119,0.024968474148802,0.0136191677175284,0.30390920554855,0.121059268600252,0.38234552332913,0.019672131147541,0.0123581336696091,0.328877679697352,0.723076923076923,0.249180327868852,0.0108448928121059,0.0073139974779319,0.120050441361917,0.0121059268600252,0.0108448928121059,0.0774274905422446,0.114249684741488,0.00302648171500631,0.0141235813366961,0.0042875157629256,0.0194199243379571,0.101134930643127
Adipocytes,0.0139478471801092,0.0424499696785931,0.023650697392359,0.00424499696785931,0.00606428138265616,0.0260764099454215,0.0260764099454215,0.0418435415403275,0.0388114008489994,0.0764099454214676,0.0739842328684051,0.0818677986658581,0.0642813826561552,0.440873256519102,0.161916312916919,0.537901758641601,0.0436628259551243,0.0479078229229836,0.125530624620982,0.25166767738023,0.0976349302607641,0.023650697392359,0.0127349909035779,0.11340206185567,0.0430563978168587,0.00909642207398423,0.0903577926015767,0.275924802910855,0.0103092783505155,0.0418435415403275,0.465736810187993,0.924802910855064,0.818071558520315
MPs,0.00948286761916804,0.0337590087242382,0.0160576558351245,0.00265520293336705,0.00429889998735618,0.131242887849286,0.150082184852699,0.0409659881148059,0.0764951321279555,0.0192186117081806,0.0527247439625743,0.0275635352130484,0.0289543557971931,0.192059678846883,0.0685295233278543,0.251612087495259,0.0122645087874573,0.00948286761916804,0.00417246175243394,0.222025540523454,0.0046782146921229,0.013149576431913,0.00872423820963459,0.0671387027437097,0.0040460235175117,0.0012643823492224,0.0342647616639272,0.0274370969781262,0.00379314704766721,0.00619547351118978,0.00278164116828929,0.0102414970287015,0.0383107851814389
Fibroblasts,0.0046049119060331,0.00694073678590497,0.00814201815269621,0.00133475707421249,0.00153497063534437,0.0120795515216231,0.0149492792311799,0.0421783235451148,0.0991724506139883,0.0137479978643887,0.0287640149492792,0.0189535504538174,0.0203550453817405,0.732447944474106,0.324946609717031,0.756073144687667,0.0162172984516818,0.00874265883609183,0.0186865990389749,0.0302989855846236,0.0048718633208756,0.0133475707421249,0.00834223171382808,0.0827549386011746,0.00547250400427122,0.00500533902829685,0.0359717031500267,0.147357180993059,0.00206887346502936,0.0224239188467699,0.00226908702616124,0.00987720234917245,0.0268286171916711
LECs,0.0123456790123457,0.0276543209876543,0.0138271604938272,0.000987654320987654,0.00197530864197531,0.0192592592592593,0.0241975308641975,0.0464197530864198,0.0893827160493827,0.0241975308641975,0.0350617283950617,0.0251851851851852,0.0182716049382716,0.377283950617284,0.152592592592593,0.418271604938272,0.451851851851852,0.586172839506173,0.262716049382716,0.480493827160494,0.0241975308641975,0.0167901234567901,0.0162962962962963,0.0893827160493827,0.0128395061728395,0.0162962962962963,0.0730864197530864,0.0977777777777778,0.00493827160493827,0.0192592592592593,0.00246913580246914,0.0148148148148148,0.0765432098765432
SGCs,0.0024232633279483,0.00888529886914378,0.00376952073236403,0,0.00053850296176629,0.00376952073236403,0.016693591814755,0.0549273021001615,0.0255788906838988,0.0177705977382876,0.0253096392030156,0.0274636510500808,0.0137318255250404,0.118201400107701,0.0317716747442111,0.143511039310716,0.00807754442649435,0.0379644588045234,0.0425417339795369,0.0880452342487884,0.0210016155088853,0.00753904146472806,0.00753904146472806,0.455304254173398,0.257942918686053,0.302369413031772,0.0635433494884222,0.0476575121163166,0.00403877221324717,0.190630048465267,0.00996230479267636,0.0344641895530425,0.0296176628971459
Melanocytes,0.0174148025821949,0.0400840714607416,0.0177150577991293,0.00270229695240955,0.00570484912175349,0.0103588049842366,0.0049542110794175,0.0223690136616124,0.0306260321273082,0.316619126257319,0.703648100885753,0.371866086173247,0.279237351748987,0.0487914727518391,0.0144122504128509,0.0671070409848371,0.00675574238102387,0.00735625281489266,0.00225191412700796,0.0142621228043837,0.00195165891007356,0.00405344542861432,0.00300255216934394,0.041885602762348,0.0141119951959165,0.00105089325927038,0.0887254166041135,0.0492418555772407,0.00210178651854076,0.122203873292298,0.00270229695240955,0.00750638042335986,0.0295751388680378
TCells,0.110055423594616,0.318968442483882,0.126569392602647,0.00248840628888135,0.0158353127474268,0.0117633751838027,0.00656034385250537,0.0583644384119444,0.0852844700825698,0.0237529691211401,0.0887908607623572,0.0275986879312295,0.0472797194887456,0.154507408664178,0.0505598914149983,0.167288768238887,0.00893564076461939,0.00169664065151001,0.00203596878181201,0.0489763601402556,0.00226218753534668,0.00825698450401538,0.00361950005655469,0.0469403913584436,0.00441126569392603,0.000678656260604004,0.0428684537948196,0.0434340006786563,0.00271462504241602,0.0127813595747087,0.00214907815857935,0.00678656260604004,0.0195679221807488
SMCs,0.00804649083594099,0.0210102816271793,0.00983459991059455,0.000894054537326777,0.00178810907465355,0.00894054537326777,0.0075994635672776,0.0885113991953509,0.0531962449709432,0.0165400089405454,0.0326329906124274,0.0277156906571301,0.0156459544032186,0.238265534197586,0.10415735359857,0.407241841752347,0.0169870362092088,0.00938757264193116,0.00804649083594099,0.0371032632990612,0.0102816271792579,0.0129637907912383,0.00715243629861422,0.136790344210997,0.0254805543138131,0.00938757264193116,0.59499329459097,0.643272239606616,0.00357621814930711,0.0447027268663388,0.00312919088064372,0.0134108180599017,0.0625838176128744
