cluster,ABV,CellType,marker
0,TCells,T cells,"CD3D,CD3E,TRBC2,"
22,BCells,B cells,"PAX5,MS4A1,"
"4,9,28",MPs,Mononuclear phagocytes,"LYZ,CD14, CD68"
"5,6,8,23,26,34",Keratinocytes,Keratinocytes,"KRT14,KRT1,KRT10,"
"2,25",Melanocytes,Melanocytes,"MLANA,PMEL,DCT,TYRP1,"
"1,3,17,21",Fibroblasts,Fibroblasts,"DCN,LUM,COL1A1,"
"14,24",LECs,Lymphatic endothelial cells,"CCL21,PROX1,"
"7,16",VascularECs,Vascular endothelial cells,"CDH5,PECAM1,PLVAP,"
"20,30",MastCells,Mast cells,"TPSB2,CPA3,,"
"10,19,27",SGCs,Sweat gland cells,"DCD,SAA1,LTF,"
"11,29",SMCs,Smooth muscle cells,"MYH11,ACTA2,"
33,SchwannCells,Schwann cells,"MPZ,SCN7A,CDH19,"
12,Adipocytes,Adipocytes,"ADIPOQ,PLIN1,FABP4,"
