"cell_type","CD3D","CD2","TRBC2","CD79A","MS4A1","LYZ","CD14","KRT14","KRT1","MLANA","PMEL","DCT","TYRP1","DCN","LUM","COL1A1","CCL21","PROX1","CDH5","PECAM1","PLVAP","TPSB2","CPA3","DCD","SAA1","LTF","MYH11","ACTA2","MPZ","CDH19","ADIPOQ","PLIN1","FABP4"
"Keratinocytes",0.0151347805148931,0.0251515731160755,0.013460464212872,0.000149502555956835,0.00401517108118955,0.0152197086162021,0.0196362298606461,0.921376371928116,0.639774562065179,0.0569887728414141,0.138687179364775,0.130846558180647,0.0777853856516064,0.354197828915436,0.0577601000935957,0.134963998827783,0.0230467608233563,0.00869747294768343,0.00853068226005786,0.0375536000059754,0.00483500477568613,0.00881532552742044,0.00299696432250654,0.267248216701001,0.0468582837434407,0.0110323837878077,0.164258677530011,0.0532896225470309,0.00524260849312641,0.0556469720455673,0.00451978010715728,0.0133635367165261,0.0524540496938598
"VascularECs",0.0256668623408161,0.0264722613439578,0.0302746409370295,0.00438390019815512,0.0057202553333859,0.0166665335082484,0.0561905761072798,0.0543749794850579,0.0367090682339103,0.0643437683517826,0.0947690228026018,0.0638296897905356,0.0501239895882131,0.353963017677678,0.0831226803113174,0.458378265275059,0.0267373173832389,0.0349525634890246,0.673261578034645,1.68354383038586,0.748720060906315,0.011626647666861,0.00523312299837712,0.241788898134354,0.106649899695207,0.122842391001135,0.113767285809331,0.163153945128713,0.00725062242259255,0.0667493903691607,0.0107593256019736,0.0505337002182967,0.289569150757556
"Adipocytes",0.0160583665735251,0.0502982105635285,0.0233714534115805,0.000694794146108366,0.00773068060109049,0.0322660233399053,0.0250370788143363,0.0476378252235353,0.0377043478278231,0.106857836422195,0.160926773548734,0.14870685828579,0.0945733400383433,0.727172152784206,0.17449566291805,1.07651899023855,0.0614905156880581,0.0676678230563818,0.141354640555265,0.386377517390186,0.119671207438988,0.0246083955007186,0.0119411967451543,0.138269665984222,0.0585337211997996,0.0112960979059996,0.112815480911581,0.45352232490841,0.0118417473482264,0.058703135791523,0.650553194093143,1.92190905672773,1.80129880216679
"MPs",0.021729874931729,0.0629048418687406,0.0326895340385666,0.0010199324165117,0.00723744118488601,0.37910300767621,0.343800652158725,0.0826727722947667,0.110659841679665,0.0453120644178686,0.144529911239705,0.069721407565386,0.0735975383505766,0.240266018287421,0.0728711293404208,0.31895596081329,0.0238205046711999,0.0163639708355865,0.00629992207664517,0.449479437783097,0.0133199361588762,0.015256366265268,0.0040579963989252,0.142971862711323,0.0105086424651429,0.00417037936896648,0.0558747986076856,0.0590083437753094,0.00824635448104133,0.0172501163135065,0.00752949773012037,0.0288927712435076,0.112176632892198
"Fibroblasts",0.0311608113585947,0.0710087725404562,0.0425568600596993,0.00189190083839946,0.0123418399093678,0.0244328727734448,0.0456910069232224,0.0969896581030293,0.128716941671931,0.0674653769100341,0.162130730346213,0.0635453477828055,0.109401144189782,1.8292374481997,0.530859038416215,1.75504985898433,0.0204497430200021,0.0135116325639585,0.0216270819160024,0.0802784064655103,0.00765963323435322,0.0158154476092758,0.00438306419076869,0.140417622218346,0.0161843389014078,0.0113954939843761,0.0656698237137955,0.281578619104183,0.0052276778865727,0.0737120513107579,0.00536086993614879,0.0262325332949171,0.0693230017513733
"LECs",0.0203741724836328,0.0364647892737822,0.0179581496713203,0,0.00459982369285711,0.00805207260437191,0.0290299253089999,0.0750522695026953,0.0798695877254837,0.0423359664254317,0.0890970854996559,0.052001138358557,0.0430322374876555,0.56089658512519,0.142013807382085,0.494624704299989,1.21569558722294,1.31340276089358,0.426723348064354,0.891146328105429,0.034520942177075,0.0151083223413406,0.00541005819434417,0.186136682288712,0.0234214980414341,0.0158156784697754,0.092176390846717,0.143270554718573,0.0089078628390465,0.028595180108985,0.00569051852608464,0.0168746455969343,0.166778510367852
"SGCs",0.00195247757836954,0.00955468603057138,0.0033746765713656,0,0.00132975564023935,0.00442047605194234,0.0197510581837922,0.0713906760204572,0.0273108588629152,0.0239137182517689,0.0481815569130004,0.0540116417769568,0.0211691848315719,0.0916882133647379,0.015861994770365,0.0967791727361285,0.0101209561606486,0.0535987891338957,0.0283853840076003,0.0519949330944058,0.00542845219126089,0.00954558872455609,0.00356028129261212,1.41261999987542,0.593114273740451,0.760400509383232,0.0653027813239752,0.0362175267289918,0.00510177058542296,0.331067222425809,0.00286411391355974,0.0245605014607008,0.0354199157945955
"Melanocytes",0.0342153866246318,0.0447080443008195,0.0321145934609626,0.0029195531104412,0.00653921317767667,0.0161176434419331,0.024070816651611,0.0237139381727389,0.0198440879857584,1.77953322770273,2.63873889482747,1.00467980470717,1.63260724865177,0.0634140546900173,0.0193049528462556,0.0830225275359107,0.00609585373106721,0.0224274476081404,0.00368072600389081,0.0194183306524952,0.00560836058742593,0.00316703253307364,0.00232005458656852,0.0282293838356025,0.00916692426001264,0.00112766188809125,0.0717052062258402,0.114743550259712,0.0388599724947867,0.541456269187077,0.00129910689244564,0.00490718884827491,0.0206459395078522
"TCells",0.87040005115967,0.94351508564559,0.806368848798004,0.0256772968352119,0.0442948140474275,0.036185874545283,0.0104861155980235,0.0810496843227644,0.0839978938953412,0.0703255104616863,0.188013242240762,0.0651821417071532,0.0825168319692926,0.130970399446521,0.0395920319573942,0.130771541947171,0.0118546666449269,0.00132791694049326,0.00463638120208468,0.0800428991097017,0.0216930809550304,0.00908144542595796,0.00135591586549252,0.0495758760693574,0.0102842557578824,0.00203757387731115,0.0545427897595919,0.160664147039822,0.00674789513927769,0.0205087750937719,0.00264029859954251,0.00866200491009794,0.0408009746702395
"SMCs",0.0373189818584407,0.0394258484761942,0.0343954727723191,0.00664689810623514,0.00850756346198467,0.0206916091824167,0.0257898907399281,0.108600608527131,0.0516177774595574,0.0962952550771338,0.154428422663523,0.0678182616667165,0.0819521957310741,0.391235162474087,0.188503078070468,1.18619011608714,0.0424831923466934,0.0165803054687255,0.0232228239618972,0.0824761972438068,0.0481095929784391,0.010733270780141,0.00219118337894731,0.230386301783844,0.0380247508239375,0.0168859734083158,1.33626404003372,1.93215666611084,0.0112519356169448,0.0686265769015278,0.00606554718510765,0.0227565036126519,0.226504056871864
"MastCells",0.035883469424399,0.117494438267708,0.039210640610453,0.00551731699963382,0.0146297013400974,0.0285130852237236,0.0373634014662201,0.175723084753828,0.209992301587132,0.0731041476480315,0.243085719232137,0.127774839119826,0.173535741561535,0.507734184420145,0.130539423864276,0.495083645039071,0.0166871309914327,0.00962639844101666,0.0071161729148989,0.0807737088199338,0.00919631132196568,2.09881819136489,1.85958886985831,0.17481950132618,0.0286450097157847,0,0.0703265961448666,0.0741507846830464,0.00493240482031954,0.0398842130516992,0.0111757619162109,0.0232886035968063,0.0875603334344408
"SchwannCells",0.0125241638572461,0.0258736999117292,0.0151158957720969,0.00159204191458777,0.0011191670944481,0.104145089165228,0.0225401433379914,0.0142011044360106,0.0172364447706138,0.664522624736392,0.488107408119885,0.348000784220964,0.517391389828824,0.0719937088272274,0.0241201354118467,0.10801356904066,0.00335436154384156,0.0456000819146182,0.00314289333867816,0.0121149412591011,0.0047644968139509,0,0.00327701727323491,0.0374144539329708,0.0140189296358674,0,0.0489542160596793,0.0896406850585783,0.514646035240109,2.11621329535906,0,0.0170952411203328,0.0270022042540758
