"cell_type","CD3D","CD2","TRBC2","CD79A","MS4A1","LYZ","CD14","KRT14","KRT1","MLANA","PMEL","DCT","TYRP1","DCN","LUM","COL1A1","CCL21","PROX1","CDH5","PECAM1","PLVAP","TPSB2","CPA3","DCD","SAA1","LTF","MYH11","ACTA2","MPZ","CDH19","ADIPOQ","PLIN1","FABP4"
"Keratinocytes",0.0101619014812263,0.01584567688598,0.00878401653461936,0.00017223561832587,0.00241129865656218,0.0091284877712711,0.0113675508095074,0.392524974164657,0.238201860144678,0.034447123665174,0.0752669652084051,0.0673441267654151,0.0451257320013779,0.170857733379263,0.0311746469169824,0.0716500172235618,0.0115397864278333,0.00516706854977609,0.00499483293145022,0.0218739235273855,0.00275576989321392,0.00516706854977609,0.0017223561832587,0.130382363072683,0.0249741646572511,0.0056837754047537,0.0897347571477782,0.0294522907337237,0.00327247674819153,0.0297967619703755,0.00258353427488805,0.00688942473303479,0.0299689975887013
"VascularECs",0.0233199598796389,0.0220661985957874,0.0260782347041123,0.00351053159478435,0.00426278836509529,0.0140421263791374,0.0428786359077232,0.0398696088264794,0.0223169508525577,0.0463891675025075,0.062938816449348,0.0376128385155466,0.0313440320962889,0.197091273821464,0.0591775325977934,0.244734202607823,0.0173019057171515,0.0280842527582748,0.383400200601805,0.723420260782347,0.337763289869609,0.00777331995987964,0.00426278836509529,0.139669007021063,0.0684553660982949,0.0802407221664995,0.0769809428284855,0.116098294884654,0.00626880641925777,0.0514042126379137,0.0092778335005015,0.0351053159478435,0.134904714142427
"Adipocytes",0.0193199381761978,0.0510046367851623,0.0278207109737249,0.000772797527047913,0.00618238021638331,0.0316846986089645,0.0285935085007728,0.0440494590417311,0.0363214837712519,0.0973724884080371,0.0973724884080371,0.0865533230293663,0.0795981452859351,0.475270479134467,0.186244204018547,0.569551777434312,0.0540958268933539,0.0579598145285935,0.143740340030912,0.284389489953632,0.109737248840804,0.0239567233384853,0.0108191653786708,0.125193199381762,0.0540958268933539,0.0115919629057187,0.102782071097372,0.320710973724884,0.0115919629057187,0.0556414219474498,0.496908809891808,0.931993817619784,0.84080370942813
"MPs",0.0134000357334286,0.0351974271931392,0.0185813828836877,0.000893335715561908,0.00428801143469716,0.145077720207254,0.156155083080222,0.0409147757727354,0.0530641415043773,0.0250134000357334,0.0741468643916384,0.034661425763802,0.0375201000536001,0.110416294443452,0.0343040914775773,0.138288368768983,0.0110773628729677,0.00804002144005717,0.00285867428979811,0.211720564588172,0.00661068429515812,0.0067893514382705,0.00214400571734858,0.0653921743791317,0.00553868143648383,0.00160800428801143,0.0273360728961944,0.0318027514740039,0.00428801143469716,0.00857602286939432,0.00339467571913525,0.0126853671609791,0.0494907986421297
"Fibroblasts",0.0224910035985606,0.046281487405038,0.0278888444622151,0.00159936025589764,0.00729708116753299,0.0166933226709316,0.032686925229908,0.0589764094362255,0.0770691723310676,0.0408836465413834,0.0898640543782487,0.0354858056777289,0.063874450219912,0.699820071971212,0.241703318672531,0.648840463814474,0.0123950419832067,0.00989604158336665,0.0137944822071172,0.0548780487804878,0.00579768092762895,0.00979608156737305,0.00309876049580168,0.0745701719312275,0.00949620151939224,0.00699720111955218,0.0434826069572171,0.161235505797681,0.00419832067173131,0.0403838464614154,0.00369852059176329,0.0162934826069572,0.0417832866853259
"LECs",0.012987012987013,0.0242424242424242,0.0121212121212121,0,0.00346320346320346,0.00692640692640693,0.0216450216450216,0.0441558441558442,0.0458874458874459,0.0268398268398268,0.0484848484848485,0.0251082251082251,0.0268398268398268,0.269264069264069,0.0917748917748918,0.257142857142857,0.484848484848485,0.579220779220779,0.236363636363636,0.446753246753247,0.0233766233766234,0.00779220779220779,0.00346320346320346,0.096969696969697,0.0138528138528139,0.00952380952380952,0.058008658008658,0.0935064935064935,0.00432900432900433,0.0207792207792208,0.00432900432900433,0.012987012987013,0.0909090909090909
"SGCs",0.00154380548050946,0.00656117329216519,0.00231570822076418,0,0.000771902740254728,0.00270165959089155,0.0131223465843304,0.0459282130451563,0.0162099575453493,0.0162099575453493,0.0281744500192976,0.0293323041296797,0.012736395214203,0.0567348514087225,0.0100347356233115,0.0586646082593593,0.00617522192203782,0.033963720571208,0.0208413739868777,0.033963720571208,0.00501736781165573,0.0054033191817831,0.00231570822076418,0.474720185256658,0.269008104978773,0.327672713238132,0.0409108452335006,0.0258587417985334,0.00347356233114628,0.176379776148205,0.00192975685063682,0.0154380548050946,0.0223851794673871
"Melanocytes",0.0261353701743892,0.0336814981824875,0.0251690976855473,0.00345097317443519,0.0053835181521189,0.0145401003082869,0.0314268623751898,0.0158284636267427,0.0140799705516956,0.728385404684121,0.854967100722404,0.432199880366263,0.647402567524042,0.041641742971518,0.0156444117241062,0.0604610500161045,0.00455528459025445,0.0280219021764137,0.00404914185800396,0.0170708139695394,0.00524547922514149,0.00239267473427507,0.00151842819675148,0.0190493719228823,0.00736207610546174,0.000874246537523582,0.057240141719965,0.12938848755349,0.0449086642433166,0.416555468642157,0.000966272488841853,0.00404914185800396,0.0164726452859706
"TCells",0.366579504420371,0.425102726933134,0.356929398580501,0.0151911343543768,0.0235960652471672,0.018802141700909,0.00510521728302827,0.038475905864774,0.0371062134229859,0.0336819823185158,0.0836134976964263,0.0284522475407795,0.0369816959282779,0.058211928775993,0.018677624206201,0.057651600049807,0.00560328726186029,0.000622587473540032,0.00236583239945212,0.0374175071597559,0.0123894907234466,0.00429585356742622,0.000560328726186029,0.0213547503424231,0.00510521728302827,0.000996139957664052,0.0248412401942473,0.0857925538538165,0.00354874859917818,0.0097123645872245,0.00112065745237206,0.00361100734653219,0.019673764163865
"SMCs",0.0320901994796184,0.0268863833477884,0.028620988725065,0.00650477016478751,0.00607111882046834,0.0147441457068517,0.018213356461405,0.0585429314830876,0.02601908065915,0.0611448395490026,0.093235039028621,0.0407632263660017,0.0537727666955768,0.205117085862966,0.117519514310494,0.466175195143105,0.0238508239375542,0.0108412836079792,0.0190806591500434,0.0485689505637468,0.0273200346921075,0.00607111882046834,0.0013009540329575,0.108412836079792,0.0199479618386817,0.00910667823070251,0.505637467476149,0.683000867302689,0.00954032957502168,0.0433651344319167,0.00346921075455334,0.0121422376409367,0.11968777103209
