cluster,ABV,CellType,marker
0,TCells,T cells,"CD3D,CD3E,CD8A,PTPRC,CD4,CD2"
22,BCells,B cells,"MS4A1,BANK1"
"4,9,28",MPs,Mononuclear phagocytes,
"5,6,8,23,26,34",Keratinocytes,Keratinocytes,
"2,25",Melanocytes,Melanocytes,
"1,3,17,21",Fibroblasts,Fibroblasts,"COL6A2,COL1A2,COL6A3,PRRX1"
"14,24",LECs,Lymphatic endothelial cells,
"7,16",VascularECs,Vascular endothelial cells,
"20,30",MastCells,Mast cells,
"10,19,27",SGCs,Sweat gland cells,
"11,29",SMCs,Smooth muscle cells,
33,SchwannCells,Schwann cells,
12,Adipocytes,Adipocytes,
