ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster,category
GO:0140014,mitotic nuclear division,45/97,282/18986,0.159574468085106,31.2338232068436,36.6553238637868,7.29020319863127e-57,1.87358222204824e-54,1.38897555679185e-54,NEK2/CCNB1/DLGAP5/PLK1/CDC20/UBE2C/MKI67/CENPF/TPX2/BIRC5/CDCA8/AURKA/KIF2C/CENPE/ANLN/CDK1/KIF14/BUB1/SKA1/SPAG5/PRC1/NCAPG/NDC80/CDC25C/UBE2S/NUF2/TTK/KIF4A/NCAPH/MAD2L1/NUSAP1/KIF23/AURKB/KIFC1/KIF11/REEP4/PSRC1/SPC25/KNSTRN/SKA3/SPC24/RACGAP1/CDCA2/KIF18A/CDCA5,45,16,Proliferation
GO:0000070,mitotic sister chromatid segregation,38/97,194/18986,0.195876288659794,38.339249654586,37.459901756681,3.99726374900592e-51,6.84864522329681e-49,5.07722623557945e-49,NEK2/CCNB1/DLGAP5/PLK1/CDC20/UBE2C/CENPF/TPX2/BIRC5/CDCA8/KIF2C/CENPE/CDK1/KIF14/BUB1/SKA1/SPAG5/PRC1/NCAPG/NDC80/NUF2/TTK/KIF4A/NCAPH/MAD2L1/NUSAP1/KIF23/AURKB/KIFC1/KIF11/PSRC1/SPC25/KNSTRN/SKA3/SPC24/RACGAP1/KIF18A/CDCA5,38,16,Proliferation
GO:0044772,mitotic cell cycle phase transition,36/97,467/18986,0.0770877944325482,15.0885450009934,22.090345200086,3.9678529521442095e-33,3.1376560267725e-31,2.3260935525120703e-31,CCNB1/CCNB2/DLGAP5/PLK1/CDC20/UBE2C/GTSE1/CENPF/CDKN3/BIRC5/CDCA8/AURKA/CCNA2/CENPE/ANLN/CDK1/KIF14/BUB1/SKA1/NDC80/TACC3/CDC25C/UBE2S/NUF2/TTK/CKS2/MAD2L1/AURKB/CDKN2C/CKS1B/FOXM1/IQGAP3/SPC25/SKA3/SPC24/CDCA5,36,16,Proliferation
GO:0007088,regulation of mitotic nuclear division,24/97,121/18986,0.198347107438017,38.8228678537957,29.9092429398745,4.29290082481694e-32,3.1522157485084398e-30,2.33688736629133e-30,NEK2/CCNB1/DLGAP5/PLK1/CDC20/UBE2C/MKI67/CENPF/BIRC5/CDCA8/AURKA/BUB1/SKA1/NDC80/CDC25C/NUF2/TTK/MAD2L1/NUSAP1/AURKB/SPC25/SKA3/SPC24/CDCA2,24,16,Proliferation
GO:0007052,mitotic spindle organization,23/97,134/18986,0.171641791044776,33.5957839667641,27.134498477749,3.35053048519043e-29,1.91352518820875e-27,1.41858717618589e-27,NEK2/CCNB1/DLGAP5/PLK1/CDC20/TPX2/BIRC5/CDCA8/AURKA/CENPE/PRC1/NDC80/TACC3/NUF2/TTK/KIF4A/KIF23/AURKB/KIFC1/KIF11/PSRC1/SPC25/RACGAP1,23,16,Proliferation
GO:0071174,mitotic spindle checkpoint signaling,16/97,49/18986,0.326530612244898,63.9124763307385,31.5984598464884,1.7170972990668602e-25,5.69411620464751e-24,4.22131899668728e-24,CCNB1/PLK1/CDC20/CENPF/BIRC5/CDCA8/BUB1/SKA1/NDC80/NUF2/TTK/MAD2L1/AURKB/SPC25/SKA3/SPC24,16,16,MAPK_PI3K_Pathway
GO:0007094,mitotic spindle assembly checkpoint signaling,16/97,49/18986,0.326530612244898,63.9124763307385,31.5984598464884,1.7170972990668602e-25,5.69411620464751e-24,4.22131899668728e-24,CCNB1/PLK1/CDC20/CENPF/BIRC5/CDCA8/BUB1/SKA1/NDC80/NUF2/TTK/MAD2L1/AURKB/SPC25/SKA3/SPC24,16,16,MAPK_PI3K_Pathway
GO:0071173,spindle assembly checkpoint signaling,16/97,49/18986,0.326530612244898,63.9124763307385,31.5984598464884,1.7170972990668602e-25,5.69411620464751e-24,4.22131899668728e-24,CCNB1/PLK1/CDC20/CENPF/BIRC5/CDCA8/BUB1/SKA1/NDC80/NUF2/TTK/MAD2L1/AURKB/SPC25/SKA3/SPC24,16,16,MAPK_PI3K_Pathway
GO:0031577,spindle checkpoint signaling,16/97,50/18986,0.32,62.6342268041237,31.2715578128756,2.5149832680307303e-25,7.60412588098704e-24,5.6372999568243e-24,CCNB1/PLK1/CDC20/CENPF/BIRC5/CDCA8/BUB1/SKA1/NDC80/NUF2/TTK/MAD2L1/AURKB/SPC25/SKA3/SPC24,16,16,MAPK_PI3K_Pathway
GO:0007093,mitotic cell cycle checkpoint signaling,18/97,152/18986,0.118421052631579,23.1787845903418,19.6731968890294,6.37392989366607e-20,1.28478430013504e-18,9.52471670384775e-19,CCNB1/PLK1/CDC20/GTSE1/CENPF/BIRC5/CDCA8/CDK1/BUB1/SKA1/NDC80/NUF2/TTK/MAD2L1/AURKB/SPC25/SKA3/SPC24,18,16,MAPK_PI3K_Pathway
