"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.71652917551665,0.846,0.131,0,"0","GLUL"
0,3.45178159982609,0.882,0.175,0,"0","BHLHE41"
0,2.78471316633142,0.808,0.116,0,"0","ABCB5"
0,2.7206147221137,0.801,0.11,0,"0","CTAG2"
0,3.15608538744124,0.813,0.123,0,"0","SELENOM"
0,1.85843963266939,0.924,0.235,0,"0","XIST"
0,3.15252015315967,0.9,0.218,0,"0","CTSK"
0,2.93212656660412,0.875,0.207,0,"0","TSPAN10"
0,2.86617986467023,0.836,0.206,0,"0","CRYAB"
0,5.24725654823209,0.716,0.091,0,"0","MGP"
0,3.00652568754012,0.74,0.115,0,"0","ANKRD30B"
0,1.86530579932059,0.93,0.341,0,"0","IGFBP7"
0,3.00065025298272,0.998,0.417,0,"0","IFI27"
0,3.0209098500823,0.86,0.307,0,"0","HEXIM1"
0,2.9599379548851,0.812,0.26,0,"0","CTSL"
0,2.72080399335793,0.765,0.218,0,"0","NBL1"
0,2.38306566954297,0.931,0.39,0,"0","HSPA1B"
0,2.53475514287579,0.66,0.119,0,"0","PYGL"
0,2.58454739815882,0.767,0.228,0,"0","BEX4"
0,3.35129983008112,0.61,0.076,0,"0","KRTAP19-1"
0,2.91753297233857,0.894,0.364,0,"0","IFI27L2"
0,2.88686903412136,0.647,0.121,0,"0","PLA2G16"
0,2.30762619990993,0.859,0.337,0,"0","PRAME"
0,2.2683047966034,0.799,0.295,0,"0","SMIM14"
0,2.82207822581151,0.727,0.223,0,"0","TOB1"
0,2.43602060192984,0.899,0.396,0,"0","ZFAND5"
0,2.11220174337189,0.741,0.24,0,"0","UGDH"
0,3.03211247296285,0.608,0.108,0,"0","SSPN"
0,2.21763797791596,0.826,0.335,0,"0","DCT"
0,1.88570548442802,0.965,0.475,0,"0","IFITM3"
0,2.48220924850208,0.975,0.486,0,"0","HSPA1A"
0,2.33088707600059,0.808,0.32,0,"0","HES1"
0,2.50714364953824,0.641,0.157,0,"0","DNAJA4"
0,1.73089190836315,0.84,0.359,0,"0","IFI6"
0,2.00136618499688,0.602,0.121,0,"0","CA8"
0,2.59000385508279,0.592,0.114,0,"0","MET"
0,2.04282623270607,0.875,0.398,0,"0","DNAJB1"
0,2.51715894109737,0.671,0.198,0,"0","SCPEP1"
0,2.00098940349157,0.619,0.146,0,"0","IFITM2"
0,2.04162054119529,0.767,0.295,0,"0","TBC1D7"
0,2.30883735353041,0.9,0.429,0,"0","BRD2"
0,1.84517881512291,0.897,0.427,0,"0","JUNB"
0,2.38310172986801,0.958,0.494,0,"0","JUN"
0,2.14862484599375,0.949,0.492,0,"0","JUND"
0,2.18971207224267,0.975,0.52,0,"0","FOS"
0,1.97921937436256,0.888,0.436,0,"0","RFC1"
0,2.66181043670468,0.783,0.334,0,"0","MRPL44"
0,2.27501859622536,0.605,0.156,0,"0","CHCHD10"
0,1.8742367560647,0.574,0.126,0,"0","VAV3"
0,2.97359082706317,0.516,0.069,0,"0","HLA-G"
0,2.60000962090727,0.555,0.11,0,"0","HNMT"
0,2.64070690173285,0.952,0.508,0,"0","ZFP36L1"
0,2.0126475421453,0.659,0.224,0,"0","C21orf91"
0,0.263217904885153,0.717,0.282,0,"0","AFF3"
0,1.98373014376566,0.843,0.408,0,"0","EIF1B"
0,1.34687166177453,0.887,0.453,0,"0","FOSB"
0,1.47106462260153,0.856,0.423,0,"0","NRP2"
0,1.24809925005827,0.737,0.304,0,"0","MGA"
0,1.22586346247005,0.942,0.515,0,"0","PRDX1"
0,1.76655251325467,0.946,0.523,0,"0","CHCHD6"
0,1.30533946543601,0.528,0.112,0,"0","MGST1"
0,1.65933935625279,0.909,0.496,0,"0","LAPTM4A"
0,2.77006008043478,0.543,0.131,0,"0","EPHX1"
0,2.92262495680503,0.535,0.123,0,"0","TM4SF1"
0,2.08160802716996,0.545,0.136,0,"0","LY96"
0,1.73275312023503,0.985,0.577,0,"0","TOMM7"
0,2.00089146631245,0.651,0.246,0,"0","IGSF8"
0,1.99775410279626,0.999,0.594,0,"0","RPL9"
0,1.77477359847051,0.992,0.589,0,"0","GSTP1"
0,1.86610561851497,0.59,0.187,0,"0","SNHG25"
0,1.82187521826715,0.967,0.566,0,"0","BTG1"
0,1.0249834776503,0.998,0.598,0,"0","RPS4X"
0,1.63832480623626,0.797,0.398,0,"0","ZFYVE16"
0,1.70723554667981,0.959,0.56,0,"0","HSPB1"
0,0.670867993685854,0.994,0.597,0,"0","RPS15A"
0,0.702296306188141,0.994,0.597,0,"0","RPL26"
0,0.981257906137141,0.975,0.578,0,"0","UBA52"
0,0.899187008049454,0.993,0.597,0,"0","RPL35A"
0,1.11216768452895,0.995,0.6,0,"0","RPS27"
0,1.17060914353525,0.976,0.582,0,"0","UBB"
0,1.23005452741836,0.954,0.56,0,"0","SRP14"
0,2.03733975283911,0.623,0.23,0,"0","LIAS"
0,1.38430866288067,0.972,0.58,0,"0","RPL38"
0,0.704433523100976,0.993,0.601,0,"0","RPL36"
0,1.78493139915263,0.966,0.575,0,"0","PEBP1"
0,0.755435323617149,0.988,0.598,0,"0","RPL35"
0,0.701664772109512,0.981,0.592,0,"0","RPS13"
0,0.888865672526561,0.968,0.579,0,"0","UBC"
0,1.37509096183134,0.983,0.594,0,"0","RPS29"
0,1.06739390255943,0.928,0.541,0,"0","CTSD"
0,0.972100896364451,0.997,0.61,0,"0","RPS3"
0,1.33847081750598,0.943,0.556,0,"0","RPL36A"
0,1.61451220355171,0.805,0.419,0,"0","HPS5"
0,0.868864980991353,0.956,0.57,0,"0","RPS10"
0,1.63770487755086,0.935,0.551,0,"0","SRSF3"
0,1.71734944891716,0.785,0.401,0,"0","PNRC1"
0,2.54780421152084,0.483,0.101,0,"0","CSRP2"
0,1.74158195941891,0.783,0.402,0,"0","TXNIP"
0,0.914626230551626,0.994,0.613,0,"0","EIF1"
0,0.93752501876855,0.981,0.6,0,"0","MT-ND5"
0,2.07333046339824,0.505,0.125,0,"0","VAMP8"
0,1.28497989278798,0.542,0.162,0,"0","LINC00504"
0,1.16469465598768,0.829,0.449,0,"0","EPS8"
0,2.37987420195152,0.484,0.105,0,"0","MYLK"
0,1.36216181530343,0.997,0.618,0,"0","RPLP2"
0,0.664002171049214,0.996,0.618,0,"0","RPL30"
0,1.46429352348595,0.885,0.507,0,"0","EIF5"
0,0.784200945315043,0.993,0.617,0,"0","TMSB10"
0,1.26593679670757,0.995,0.62,0,"0","RPL37A"
0,0.860481258416156,0.952,0.577,0,"0","CSTB"
0,1.36795800839604,0.745,0.371,0,"0","ARL6IP1"
0,0.797604074224149,0.989,0.615,0,"0","MT-ND1"
0,0.817775209418265,0.997,0.624,0,"0","RPL11"
0,4.32043340274544,0.412,0.039,0,"0","SULT1C2"
0,3.6662975515142,0.452,0.079,0,"0","MAFB"
0,1.17076674727801,0.996,0.624,0,"0","RPL34"
0,2.0376094367556,0.543,0.171,0,"0","AC020916.1"
0,1.00575526653695,0.996,0.624,0,"0","RPL39"
0,1.72623024257035,0.664,0.293,0,"0","ACP5"
0,0.985490473355389,0.928,0.557,0,"0","ATP6V1G1"
0,1.26291110478689,0.708,0.337,0,"0","STAM"
0,1.76871135155028,0.661,0.291,0,"0","C11orf96"
0,1.37161763578997,0.997,0.627,0,"0","RPL37"
0,1.24466223187097,0.83,0.46,0,"0","MLPH"
0,1.57737734377613,0.672,0.304,0,"0","CEBPB"
0,0.777090321375834,0.964,0.596,0,"0","RPS21"
0,0.980925245023727,0.98,0.613,0,"0","HSP90AB1"
0,0.962691504877973,0.893,0.526,0,"0","SEPT7"
0,1.45795565333421,0.675,0.309,0,"0","UPP1"
0,0.756552441191103,0.943,0.577,0,"0","RPL21"
0,2.21420661710057,0.53,0.165,0,"0","POLG2"
0,1.28221519927111,0.828,0.464,0,"0","ATP5MPL"
0,2.14834773210811,0.641,0.278,0,"0","IER5"
0,1.65766163606515,0.703,0.34,0,"0","VAMP2"
0,0.790949823212588,0.905,0.543,0,"0","EEF1B2"
0,1.58192837144087,0.477,0.117,0,"0","SAMMSON"
0,1.21683688619249,0.886,0.526,0,"0","MARCKS"
0,0.948936527369483,0.99,0.63,0,"0","H3F3B"
0,1.46580632830325,0.774,0.415,0,"0","CTSZ"
0,2.38074246686613,0.462,0.103,0,"0","FAM129A"
0,0.767137632998961,0.973,0.614,0,"0","RPL22"
0,1.39286458360159,0.826,0.469,0,"0","SNHG8"
0,1.2008523718153,0.864,0.507,0,"0","TMEM258"
0,1.75413998052631,0.832,0.475,0,"0","INTS6"
0,0.944744185999808,0.997,0.64,0,"0","RPS28"
0,1.36513602982813,0.608,0.251,0,"0","CITED1"
0,0.672392203442118,0.692,0.335,0,"0","NEDD4L"
0,2.03603031750177,0.529,0.173,0,"0","TRIM63"
0,0.760772067693376,0.996,0.64,0,"0","PTMA"
0,3.6505208459896,0.398,0.044,0,"0","KCNJ13"
0,1.44036951626295,0.854,0.5,0,"0","SRSF2"
0,0.777789170340736,0.838,0.485,0,"0","STMN1"
0,1.94957175459616,0.659,0.308,0,"0","CEBPD"
0,1.28490773084424,0.446,0.096,0,"0","COL11A1"
0,1.4118580336339,0.623,0.273,0,"0","CLK1"
0,2.17968430738385,0.564,0.215,0,"0","SNAI2"
0,1.98843087296013,0.536,0.189,0,"0","HIST1H2AC"
0,2.87103909806614,0.423,0.076,0,"0","CYGB"
0,1.77924190115958,0.533,0.187,0,"0","CD55"
0,2.03289533968967,0.607,0.261,0,"0","HEBP1"
0,1.64392866105686,0.671,0.326,0,"0","TCEAL9"
0,1.14545103572227,0.99,0.645,0,"0","MT-ND2"
0,0.902332567199679,1,0.656,0,"0","FTH1"
0,0.868846446961046,0.875,0.533,0,"0","NDUFC2"
0,0.80941005243185,0.92,0.579,0,"0","HNRNPA1"
0,1.06709623391961,0.75,0.409,0,"0","TUBB4B"
0,1.12108501630452,0.821,0.48,0,"0","RNH1"
0,3.9529586769002,0.385,0.045,0,"0","ADM"
0,2.44635151132985,0.443,0.103,0,"0","SERPING1"
0,1.1857845981834,0.901,0.561,0,"0","SRSF7"
0,1.46152971846597,0.723,0.384,0,"0","SIGIRR"
0,0.744148380098888,0.937,0.599,0,"0","CALM1"
0,1.26031081208883,0.648,0.31,0,"0","OPTN"
0,1.16014934815765,0.674,0.336,0,"0","YME1L1"
0,2.08963921033312,0.473,0.135,0,"0","BCL6"
0,1.11749126352913,0.692,0.354,0,"0","PDCD4"
0,1.83453159155951,0.947,0.609,0,"0","ZNF106"
0,0.790721040748654,0.949,0.613,0,"0","BRI3"
0,1.89616201684384,0.559,0.225,0,"0","ILF3-DT"
0,1.21981975676751,0.942,0.608,0,"0","EIF4A2"
0,1.1683368382485,0.84,0.506,0,"0","PYURF"
0,0.979070968496085,0.926,0.593,0,"0","SKP1"
0,1.2944238964105,0.754,0.421,0,"0","HNRNPH3"
0,1.98091871829679,0.496,0.163,0,"0","CD82"
0,1.19289471892476,0.856,0.524,0,"0","RSRP1"
0,1.01949607163047,0.918,0.587,0,"0","CD59"
0,1.35572143562877,0.658,0.328,0,"0","CDK2"
0,1.21395803991911,0.831,0.501,0,"0","SRRM1"
0,1.25975302715088,0.796,0.467,0,"0","RSRC2"
0,1.91804271874582,0.492,0.163,0,"0","PDE4DIP"
0,0.864049205807931,0.826,0.497,0,"0","IER2"
0,0.973990618236022,0.809,0.482,0,"0","PHPT1"
0,2.62929868026275,0.46,0.133,0,"0","DNAJB4"
0,1.25879079392019,0.619,0.294,0,"0","EFHC1"
0,0.821118436090847,0.853,0.528,0,"0","SOD1"
0,1.46999766757731,0.992,0.669,0,"0","MT-ND3"
0,2.2022405692875,0.438,0.116,0,"0","FHL2"
0,1.41158060715593,0.716,0.395,0,"0","TPP1"
0,0.881240671637919,0.884,0.564,0,"0","SET"
0,1.53205850309015,0.71,0.39,0,"0","ALKBH7"
0,1.51420691038957,0.553,0.234,0,"0","SIRPA"
0,2.27555241557319,0.481,0.162,0,"0","LINC01443"
0,1.43319593160044,0.781,0.463,0,"0","MLEC"
0,1.2673599478121,0.591,0.273,0,"0","STOM"
0,1.37796733271404,0.685,0.368,0,"0","PPP1R10"
0,1.67868016784236,0.558,0.241,0,"0","LRRC75A"
0,1.99932215750787,0.995,0.678,0,"0","MT-ATP6"
0,1.03246603466097,0.75,0.434,0,"0","CCNL1"
0,1.6824528359348,0.61,0.294,0,"0","BORCS7"
0,1.51645346315564,0.615,0.3,0,"0","SCD"
0,1.27178556547316,0.747,0.432,0,"0","PLP1"
0,0.989413216795099,0.817,0.502,0,"0","NDUFB4"
0,0.468035922209418,0.961,0.646,0,"0","HLA-B"
0,1.16900940442209,1,0.685,0,"0","RPL41"
0,1.07805900852627,0.539,0.225,0,"0","BCL2L1"
0,1.75174046649261,0.599,0.285,0,"0","POLR2J3.1"
0,1.45478286329052,0.949,0.635,0,"0","TNFRSF14"
0,1.03445284264179,0.863,0.549,0,"0","HP1BP3"
0,0.947454957686271,0.848,0.534,0,"0","TMBIM6"
0,1.61992997177941,0.453,0.14,0,"0","GPRC5B"
0,1.50716106362244,0.582,0.269,0,"0","DUSP1"
0,0.78294615112173,0.992,0.679,0,"0","MT-ND4"
0,1.26339137541153,0.993,0.68,0,"0","MT-CYB"
0,1.60669629076011,0.478,0.166,0,"0","SH3BP5"
0,1.31129423893071,0.679,0.368,0,"0","CTSF"
0,1.86300810586484,0.52,0.209,0,"0","TOB2"
0,1.63487395868667,0.999,0.689,0,"0","VIM"
0,1.05041601624289,0.802,0.492,0,"0","H2AFJ"
0,0.908463420353898,0.799,0.492,0,"0","TRIR"
0,1.13866941930793,0.808,0.501,0,"0","LAMP2"
0,1.20663238960989,0.735,0.428,0,"0","VAT1"
0,1.35327092461029,0.536,0.23,0,"0","SHC1"
0,1.61554696425453,0.558,0.252,0,"0","GABARAP"
0,3.03879604635221,0.378,0.072,0,"0","SERPINI1"
0,0.984572058939271,0.808,0.503,0,"0","NPC2"
0,1.78204161716874,0.929,0.625,0,"0","TFAP2A"
0,1.51475746926318,0.513,0.209,0,"0","SLC35D2"
0,1.1303003911929,0.754,0.45,0,"0","COX7A2L"
0,1.25878661448595,0.499,0.195,0,"0","WDR19"
0,1.2305969551531,0.732,0.428,0,"0","DDX24"
0,1.67075034074079,0.576,0.272,0,"0","RETREG2"
0,0.873371873236977,0.871,0.568,0,"0","SQSTM1"
0,1.02318305783275,0.887,0.584,0,"0","PTTG1IP"
0,1.28132197454955,0.711,0.408,0,"0","SLC38A2"
0,0.907311452898486,0.762,0.459,0,"0","MYCBP2"
0,2.85812184581941,0.386,0.083,0,"0","LY6K"
0,0.652592803978992,0.971,0.668,0,"0","MLANA"
0,1.12561042799449,0.705,0.402,0,"0","DDIT4"
0,1.11946478918768,0.835,0.532,0,"0","TMED10"
0,0.850748922793359,0.923,0.621,0,"0","CIRBP"
0,0.885536663926413,0.757,0.455,0,"0","WDFY1"
0,1.86329706182273,0.466,0.165,0,"0","NFKBIZ"
0,0.976877849700148,0.844,0.543,0,"0","TMEM59"
0,2.48318087669867,0.431,0.132,0,"0","FAM53C"
0,1.19416975732711,0.856,0.557,0,"0","SRSF5"
0,1.04048146152167,0.594,0.296,0,"0","LMO4"
0,0.957695629501302,0.79,0.493,0,"0","DNAJA1"
0,1.47666903022253,0.597,0.3,0,"0","MCL1"
0,3.33695830801044,0.356,0.059,0,"0","SNHG18"
0,1.55931776860496,0.603,0.309,0,"0","EIF4A3"
0,1.7867118381736,0.485,0.191,0,"0","SLC5A3"
0,1.43708080554487,0.537,0.244,0,"0","DAB2"
0,1.42227720328606,0.587,0.295,0,"0","YPEL3"
0,1.34472381148296,0.701,0.409,0,"0","DDX3X"
0,1.47210945669742,0.561,0.27,0,"0","PPM1K"
0,1.05770789538481,0.791,0.5,0,"0","KLF6"
0,1.06574251459668,0.901,0.61,0,"0","WSB1"
0,1.14406179775748,0.993,0.702,0,"0","MT-CO3"
0,1.26116553370173,0.632,0.341,0,"0","SEPT2"
0,1.09794878492281,0.639,0.349,0,"0","FAM114A1"
0,2.22588680691618,0.88,0.59,0,"0","TYRP1"
0,1.09875047970209,0.602,0.312,0,"0","CREBRF"
0,0.884974451164457,0.772,0.483,0,"0","DSTN"
0,1.80491113062378,0.529,0.24,0,"0","COL4A3BP"
0,2.13817300854593,0.434,0.146,0,"0","ATG2A"
0,1.11578873020836,0.641,0.354,0,"0","RTF1"
0,4.42299433175609,0.32,0.033,0,"0","ZNF280A"
0,0.863209600557013,0.869,0.583,0,"0","PSAP"
0,1.07708626751219,0.716,0.43,0,"0","C6orf62"
0,1.39163912246514,0.641,0.356,0,"0","SUCLG1"
0,1.36568658327411,0.514,0.229,0,"0","MYLIP"
0,0.927431393292148,0.873,0.588,0,"0","VMP1"
0,3.31842241883297,0.342,0.058,0,"0","HSPB2"
0,0.890333143907639,0.827,0.543,0,"0","TMBIM4"
0,0.928879941497466,0.807,0.526,0,"0","THRAP3"
0,1.63122824582707,0.589,0.308,0,"0","ARL4A"
0,1.71454284739744,0.427,0.147,0,"0","TRIM8"
0,1.30684346745584,0.666,0.386,0,"0","PPP1CC"
0,0.952682678849498,0.7,0.42,0,"0","C6orf48"
0,1.39054612230221,0.402,0.123,0,"0","BAALC"
0,1.20469553719052,0.673,0.394,0,"0","RBBP6"
0,2.6018301495405,0.383,0.105,0,"0","SEMA4A"
0,1.11092475052842,0.632,0.354,0,"0","SNRPB2"
0,0.744609105573628,0.818,0.54,0,"0","PTEN"
0,1.09279529338675,0.695,0.418,0,"0","SYF2"
0,1.50574886116702,0.547,0.271,0,"0","ID2"
0,1.8749029081458,0.48,0.205,0,"0","BAG3"
0,1.51534987129978,0.577,0.303,0,"0","IRF2BP2"
0,1.16881914628233,0.653,0.38,0,"0","LEPROT"
0,1.25300569280363,0.553,0.28,0,"0","CMTM6"
0,0.864802274472585,0.884,0.611,0,"0","RBM39"
0,1.09102073659653,0.686,0.414,0,"0","C4orf3"
0,1.82117607115636,0.445,0.173,0,"0","CNPPD1"
0,1.26710109136915,0.638,0.366,0,"0","FEM1B"
0,2.11867937586909,0.437,0.165,0,"0","AC091271.1"
0,1.5719458726532,0.455,0.185,0,"0","EPM2AIP1"
