"","Sample7","Sample8","Sample13","Sample16","Sample17","Sample20","Sample25","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample45","Sample52","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60","Sample61","Sample62","Sample66","Sample68","Sample76","Sample77","Sample84","Sample86","Sample87","Sample91","Sample92","Sample94","Sample95","Sample96","Sample97","Sample98","Sample99","Sample100","Sample102","Sample103","Sample104","Sample105","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample9","Sample10","Sample11","Sample12","Sample14","Sample15","Sample18","Sample19","Sample21","Sample22","Sample23","Sample24","Sample26","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample53","Sample63","Sample64","Sample65","Sample67","Sample69","Sample70","Sample71","Sample72","Sample73","Sample74","Sample75","Sample78","Sample79","Sample80","Sample81","Sample82","Sample83","Sample85","Sample88","Sample89","Sample90","Sample93","Sample101"
"MHC class II protein complex assembly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"peptide antigen assembly with MHC class II protein complex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MHC protein complex assembly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"peptide antigen assembly with MHC protein complex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",1.31906652151068,2.51900089067253,-1.06599063809187,0.212488950986088,-0.886639266510646,0.335539176126031,-0.986477905506942,-0.79614825589358,0.808917350836931,-0.118784284229898,-0.151869888855318,-0.819597779452026,0.349126063055058,0.734032960101131,1.51426701207928,-0.677055842043353,-0.118784284229898,0.708673515969393,-0.23326384342412,-0.151869888855318,0.160662451381212,0.527732413496708,-0.819597779452026,1.09287466799866,-0.271462400865996,0.212488950986088,0.0238917352171498,1.50926361590114,-0.803811889713058,-0.38995222517533,-0.507199690573992,-0.00320757054302161,-0.981987268240802,-1.16091867170425,0.113359891060972,0.404615731429234,-0.430140350160524,-0.456062736492392,-0.118784284229898,1.79027996155102,-0.56865046842358,-0.93670065101356,-0.959242779028045,-0.803811889713058,-0.959242779028045,-0.50046576154048,-0.705591731557654,1.5667773695772,1.16498782779503,-0.981987268240802,-0.346516446150016,1.32777573693263,2.25380529162448,0.230829419558638,0.708379368553843,1.3014082690893,-0.877695517460812,-0.783228199816176,1.46945414924764,-0.849425567267492,0.32715862121649,0.68394601039224,0.93399983922822,-1.05084248024467,1.47239270902657,-0.76987369801636,-0.118784284229898,-0.615221460114035,-0.849425567267492,-0.620882605263824,-0.981987268240802,-0.959242779028045,0.0390122906463737,1.58341698815707,-0.690321828765227,1.08859071291127,-0.38995222517533,-0.981987268240802,-0.959242779028045,-0.615221460114035,-0.79614825589358,1.051410026891,-0.737207000798512,-0.877695517460812,-0.93670065101356,-0.677055842043353,2.15465809910517,-0.981987268240802,0.103525677261018,0.708379368553843,-0.690321828765227,-1.16091867170425,-1.06599063809187,-0.00320757054302161,-0.690321828765227,-0.981987268240802,0.212488950986088,2.05921790025198,-0.93670065101356,0.500907240023252,-0.286970043412825,0.734032960101131,0.212488950986088,-0.690321828765227,-0.886639266510646
"mitotic spindle midzone assembly",-1.22177146492013,-1.840722168926,-0.366089888719591,-0.396834638023199,-0.742279817107327,-1.26265584398284,-0.151752610111326,0.767144618072001,-0.438444414840799,-0.0830699362062993,-0.605508752971778,1.55089459071707,0.210066816862645,-0.988260032488879,-0.807229219085337,-0.128201631463964,-0.72428270879787,-0.614447345204154,0.783902869504536,-0.991197417096884,-0.613002567082632,0.382362490612898,-0.10327464020478,-0.978832606134249,-0.973557960968134,-0.992324653690544,-0.729279252758251,-1.60859580242557,0.204402005234137,-0.904347762200604,-0.137935465299694,-0.432028153005623,1.35484336903698,0.47196797396019,-0.118345768288028,1.32255365837622,1.0812699746516,-0.385618113494341,0.991002624113208,-0.956901775820386,-0.0177071839443411,0.342122975734043,0.448135477958053,0.2194126212147,0.615828529250541,0.562669892871078,0.637509642595985,-0.942488040672095,-1.19182756665145,0.473447874666452,-0.400244766092191,-0.00125550040230137,-0.575745044967752,-0.60224032140803,-0.353863257240266,-1.41701170137561,0.610061944507729,-0.130193184418199,-1.57686143300447,0.124550368959258,-0.786798133211672,-0.321615592598462,-0.135332059411956,1.11021448997837,-1.45377540034635,1.68102062410161,-0.707352072832784,1.59310085887346,-0.0663814138866227,0.146540890398986,1.88351849812294,0.522842721393971,-0.346765630366266,-1.19699215785422,1.42705737335898,-0.545872672642808,0.237630148485987,2.00324417548727,-0.250656115992268,1.55181182631121,1.35063252137558,-1.71261067738165,0.0551274171139009,1.179992836225,0.649682237280219,0.185269462316421,-1.40919204005188,2.25695607893615,0.562081066003581,0.237982320498312,2.13606794479903,1.17615477519344,0.0589472964026094,0.00862599634601383,1.6520790136068,1.52723314560782,-0.717454818613665,-0.880906227648855,2.06191318311733,-1.01759615609365,0.455945094808608,-1.50186168622146,-1.54426115458834,1.82172244457949,-0.585890338383572
"mitotic spindle elongation",-1.22177146492013,-1.840722168926,-0.366089888719591,-0.396834638023199,-0.742279817107327,-1.26265584398284,-0.151752610111326,0.767144618072001,-0.438444414840799,-0.0830699362062993,-0.605508752971778,1.55089459071707,0.210066816862645,-0.988260032488879,-0.807229219085337,-0.128201631463964,-0.72428270879787,-0.614447345204154,0.783902869504536,-0.991197417096884,-0.613002567082632,0.382362490612898,-0.10327464020478,-0.978832606134249,-0.973557960968134,-0.992324653690544,-0.729279252758251,-1.60859580242557,0.204402005234137,-0.904347762200604,-0.137935465299694,-0.432028153005623,1.35484336903698,0.47196797396019,-0.118345768288028,1.32255365837622,1.0812699746516,-0.385618113494341,0.991002624113208,-0.956901775820386,-0.0177071839443411,0.342122975734043,0.448135477958053,0.2194126212147,0.615828529250541,0.562669892871078,0.637509642595985,-0.942488040672095,-1.19182756665145,0.473447874666452,-0.400244766092191,-0.00125550040230137,-0.575745044967752,-0.60224032140803,-0.353863257240266,-1.41701170137561,0.610061944507729,-0.130193184418199,-1.57686143300447,0.124550368959258,-0.786798133211672,-0.321615592598462,-0.135332059411956,1.11021448997837,-1.45377540034635,1.68102062410161,-0.707352072832784,1.59310085887346,-0.0663814138866227,0.146540890398986,1.88351849812294,0.522842721393971,-0.346765630366266,-1.19699215785422,1.42705737335898,-0.545872672642808,0.237630148485987,2.00324417548727,-0.250656115992268,1.55181182631121,1.35063252137558,-1.71261067738165,0.0551274171139009,1.179992836225,0.649682237280219,0.185269462316421,-1.40919204005188,2.25695607893615,0.562081066003581,0.237982320498312,2.13606794479903,1.17615477519344,0.0589472964026094,0.00862599634601383,1.6520790136068,1.52723314560782,-0.717454818613665,-0.880906227648855,2.06191318311733,-1.01759615609365,0.455945094808608,-1.50186168622146,-1.54426115458834,1.82172244457949,-0.585890338383572
"positive regulation of mitotic cell cycle spindle assembly checkpoint",-1.11032706607948,-1.06509902501177,-0.292865661514982,-0.531620475794537,-0.207935122572684,-0.82709967055836,0.874680470998168,0.988312432045701,-1.55947480345228,-0.694270722064582,-0.634428423516263,-0.386406260849912,-0.269722398612875,-1.43121109318205,0.0719854484413795,0.38787631143931,-1.2406348728622,-0.860128611870592,0.384377044242197,-0.886842012929397,-0.0561012404926565,-0.654996568429158,-0.194642359331295,-1.38211786904571,-1.24558005121922,-1.20175186572381,0.614040033822704,-1.69932153389253,0.0682525344671412,-1.17079516028779,0.0284203781401421,0.00429147291827519,1.00203848834108,0.900097346357346,-0.290772603268352,-0.709859482420983,-0.0920435741318009,-0.87425666058731,-0.068838398059695,-0.229794354992279,-0.773603676596594,-0.186590293857611,0.218654310981626,0.499636584940177,0.174546089354807,1.81333719164819,0.0640551989851278,-0.973091050290844,-0.785556862888672,0.676848352884902,-0.705504844403569,0.571959020379826,-0.598542859543317,0.561472070112862,-0.390733955570028,-1.56494333256496,-0.0734495989491879,0.0128045491303211,-0.846369376854494,-0.458293316060548,-0.713378815493567,-0.129061510028617,0.560048002686953,1.07311088118148,-1.1764460292623,1.80978000655637,-1.19398502807931,0.94778045495901,0.211051678944811,0.284271739792967,2.58955553806531,1.04191037165786,0.049446235227836,-0.686988615623018,1.36210824877994,0.418495412581551,0.974701046641371,2.21212022955055,0.598840586830842,1.35859345378572,1.65923141963343,-1.19091993448818,0.167910024651018,1.35276041617111,1.73435192188604,-0.447342645787852,-1.1306861737444,1.83753259468438,0.900692471786214,0.990198495776449,2.015968509391,0.376951331735547,0.17257036066972,0.221832717870149,1.18307741787995,0.684334745417416,-1.00803573737038,-1.13339709873478,1.54057150256559,-0.763082514791358,-0.212423853801624,-1.72448351994272,-1.64217492111194,2.23980641510909,-0.109266053506545
"regulation of attachment of mitotic spindle microtubules to kinetochore",-1.10803678272178,-1.1869688374817,0.172105722332949,-0.60384889898195,-0.271014471896076,-1.30513157902735,0.614830608977058,0.829006700331287,-1.32769893927054,-0.318048831390818,-1.03028426586885,-0.132347938785771,0.227088777060393,-1.2640443036444,-0.260892913985371,1.00835230804122,-1.7542255452894,-1.51484418427578,0.830103029240655,-0.776446938826971,-0.437982374600382,-0.145347033872075,-0.0810580849032307,-1.64730714680302,-0.767994805924449,-1.06182433783892,0.222771124240476,-1.69847302651274,0.616368160961301,-0.538652722346148,-0.206297335102969,0.13373463398934,0.658989978042533,0.514098866536653,-0.506106521445995,0.60690473370473,0.797042124909737,-0.621179767093556,0.378311861868066,-1.33288585969827,-0.326597843576888,0.73393854191123,0.191872756892548,-0.181695710135195,0.354211254365067,1.08965404021242,0.341987738538753,-1.03683293918627,-0.882527624421189,0.478556645145337,-0.670212203591228,0.526304493946359,-0.616831334235522,0.345506147534901,-0.029159529975178,-2.10882916406565,0.637895670525985,0.200637903473172,-1.2419937293112,-0.332090081708122,-0.228779972201893,-0.402095601609448,0.365036836715567,1.32182914249178,-1.20486976598514,1.38839200175718,-1.09264011523451,0.883512213233602,-0.245695923535691,0.874200665836962,1.97655399427697,0.745311222284741,0.00365544965711419,-0.796142727001095,1.52375767755743,0.365734419657404,0.561564508639323,1.87962351481743,0.139851415480072,1.53599043379244,1.32087659820393,-1.61239531433656,0.235188776877911,1.57343084270393,1.24464467157714,0.0973478251339536,-1.41016892373947,1.45448988723277,0.95871621196677,0.737978258393211,2.0378195979639,0.768420148317355,0.0889837913800852,0.0375376729251425,1.45671298111229,0.709691275461336,-0.898148821941208,-0.803874165817426,1.85327204085437,-0.672683730207659,-0.0905157998993317,-1.61844592825536,-2.34817986520501,2.07133637120636,0.0286159924740664
"attachment of mitotic spindle microtubules to kinetochore",-1.5211633137146,-1.0147271236326,-0.693467005530272,-0.0527908455118051,0.0116070182292334,-1.75007524305577,0.184371805474625,0.693506564621795,-0.626396421462899,0.509657387048343,-0.540325670205802,0.996927760560749,1.76754730201232,-0.799183618451117,-1.08103148613452,-0.164938684949921,-0.529470158271933,-0.913488401667559,1.23521461567293,0.130522550318163,0.177348342955272,-0.498232000284752,0.51366779133686,-0.447731459112261,-1.4281616572682,-1.53521166107619,0.972517800425721,-2.01405504512104,0.214111069224185,-1.3024376863722,-0.525668798436203,0.0487019360298971,0.294085691077028,0.284366930351691,0.128326078875198,0.0300857222992062,2.59866482216178,-0.63373631059349,0.747139285572217,-0.997773081560749,-0.0680553738253948,1.03743936805252,1.37444356628051,1.56903553754763,0.618620067939851,2.02315374960555,0.740395931307772,-1.03220762115705,0.535935743312861,-0.446249755668005,-0.555497390077743,-0.056689854064328,-0.301916918489481,-0.318914259188238,-1.07793414194063,-1.69530197559601,0.369464223366065,0.410795628492933,-1.30745553247149,-0.0561654666868455,-1.16384686606486,-0.139133205982588,0.761382398413394,0.598961802432035,-1.42595673391699,0.954655865303131,-1.49560858527705,0.375177637285568,0.580749679559658,0.49940267730665,1.33643304232042,1.12985633627474,-0.419194688205295,-0.550536450589706,1.03454834133243,-0.425041447706431,-0.394580994235735,1.27839659811048,0.564109052666544,0.930763621082702,0.768205740620912,-1.76883737308265,0.0873812142029927,1.24799353148008,2.2195115873582,0.202442783165171,-1.75306748640196,0.705509144436597,0.792166070977121,-0.116826100847153,1.29043615166059,-0.35299288998511,-0.176176212695602,0.0335908246036562,1.29553965682571,0.457463106585024,-0.955765534691421,-0.887633523227683,1.08782715190863,-0.509348531057603,0.143441540523418,-1.63062871211722,-2.13798785645594,1.69158171957591,0.00443558795539696
