"","MHC class II protein complex assembly","peptide antigen assembly with MHC class II protein complex","MHC protein complex assembly","peptide antigen assembly with MHC protein complex","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","mitotic spindle midzone assembly","mitotic spindle elongation","positive regulation of mitotic cell cycle spindle assembly checkpoint","regulation of attachment of mitotic spindle microtubules to kinetochore","attachment of mitotic spindle microtubules to kinetochore","cytoplasmic translation","ribosomal small subunit biogenesis","ribosome assembly","ribosomal large subunit biogenesis","translational elongation","stress response to copper ion","negative regulation of stress-activated protein kinase signaling cascade","protein refolding","stress response to metal ion","label"
"Sample1",0,0,0,0,-0.448718631677941,-0.236454657606364,-0.236454657606364,-0.207969572742167,-0.209245674803019,-0.254331289464233,0.475112391427186,0.361256958676814,0.109641558729948,0.0993719721477037,0.191193982198272,-0.304487063281957,-0.313774543848209,-0.220751379175174,-0.304487063281957,0
"Sample2",0,0,0,0,-0.466752409872378,-0.232235272876882,-0.232235272876882,-0.293169834556776,-0.254632616038143,-0.314394970642758,0.475580843286334,0.362991552596386,0.151410964178671,0.0942117554676216,0.223139277514235,-0.319376626152088,-0.216452274555252,-0.233631182703334,-0.319376626152088,0
"Sample3",0,0,0,0,-0.266975656386086,-0.321313845719553,-0.321313845719553,-0.343684921517586,-0.338333664130844,-0.39739512321439,0.479381990571136,0.367263305907983,0.097177974865965,0.105659272128584,0.234952613045506,-0.270959733794838,-0.349281683871574,-0.134685167298614,-0.270959733794838,0
"Sample4",0,0,0,0,-0.302299235729732,-0.335371340463196,-0.335371340463196,-0.334550910001506,-0.328966589223452,-0.323968587244623,0.466617831368585,0.35818274437523,0.133158693889293,0.0328827332526913,0.279510216676546,-0.167267913016182,-0.33735450830603,-0.221402457049456,-0.167267913016182,0
"Sample5",0,0,0,0,-0.491051896680698,-0.241484899189612,-0.241484899189612,-0.263323224708025,-0.246342226428737,-0.369958310189553,0.473482068264593,0.190663388914519,0.00615596240791252,0.000190524733275332,0.26274173899273,-0.0464594187763627,-0.279193933546216,-0.192406422716172,-0.0464594187763627,0
"Sample6",0,0,0,0,-0.43518408114441,-0.29074275213845,-0.29074275213845,-0.330651908604175,-0.316078021814504,-0.375073706867784,0.47149156369654,0.296351609723862,0.060544935963361,0.040364789108616,0.344819154270015,-0.276944383892677,-0.255983198575516,-0.15009934291515,-0.276944383892677,0
"Sample7",0,0,0,0,-0.288753310819669,-0.337059545294992,-0.337059545294992,-0.350369117961971,-0.342656079966662,-0.420289919417755,0.485168054946103,0.329626457432802,0.010891161898065,0.0291659005661832,0.249705493911626,-0.127276797071574,-0.342697395859017,-0.154038224412553,-0.127276797071574,1
"Sample8",0,0,0,0,-0.183260328826533,-0.371955321381681,-0.371955321381681,-0.348166247894999,-0.347447635401134,-0.396576618727281,0.486143320949916,0.361075660805479,0.106929584690273,0.0829430194013671,0.211589719494555,-0.0711008612778202,-0.45930515395203,-0.209650974876026,-0.0711008612778202,1
"Sample9",0,0,0,0,-0.287987634688295,-0.26824816575799,-0.26824816575799,-0.268431948532128,-0.243443702310712,-0.351717609259029,0.47299979834654,0.201743194090034,0.0713102506000236,0.0483584422774133,0.336944447002947,-0.136377807404894,-0.152160342105696,-0.262366680669459,-0.136377807404894,0
"Sample10",0,0,0,0,-0.206575166099322,-0.300637269416089,-0.300637269416089,-0.325442234490724,-0.312837546250601,-0.363200088651378,0.48421420010311,0.353694901503977,0.0943057014116444,0.0797841114240625,0.225575937712499,-0.112405428525111,-0.303946070648518,-0.288670867143032,-0.112405428525111,0
"Sample11",0,0,0,0,-0.384426357571948,-0.302131044652196,-0.302131044652196,-0.268942724331644,-0.254419031686418,-0.363995969867653,0.48992412680081,0.272234876475507,0.00518010594494186,0.0286494215336131,0.255571896413707,-0.133572052418265,-0.201482310973817,-0.164996362475471,-0.133572052418265,0
"Sample12",0,0,0,0,-0.342442254553578,-0.288127812472037,-0.288127812472037,-0.315320725723017,-0.277163040677999,-0.399536215731286,0.474534892627135,0.270821362608272,0.0590174504496024,0.0563191948296393,0.312286999857082,-0.174054680506749,-0.313774543848209,-0.117893352344611,-0.174054680506749,0
"Sample13",0,0,0,0,-0.498437105581124,-0.28881713682636,-0.28881713682636,-0.310553967526332,-0.264945271656267,-0.381533977759651,0.485011532301635,0.266012171348024,0.0782433906269428,0.0620692639783615,0.253213328829618,-0.152953058997446,-0.321320037026952,-0.088681477421379,-0.152953058997446,1
"Sample14",0,0,0,0,-0.290305747146682,-0.34806698018499,-0.34806698018499,-0.37251158846827,-0.403408991926094,-0.428443764920705,0.47369167963281,0.347254161128897,0.115734029264475,0.13932352882777,0.235570063630236,-0.116399142893442,-0.42035326288287,-0.151874388610468,-0.116399142893442,0
"Sample15",0,0,0,0,-0.481883022057371,-0.233782744622829,-0.233782744622829,-0.299867122263336,-0.236669581071812,-0.331763427515141,0.449507381328105,0.254132000902788,0.0373628462717046,0.0426043754574223,0.402523824871072,-0.292019241030528,-0.256133513441923,-0.178554758017548,-0.292019241030528,0
