"Signature","GO_Term","Gene"
"Signature1","MHC class II protein complex assembly","HLA-DQA2"
"Signature1","MHC class II protein complex assembly","HLA-DQA1"
"Signature1","MHC class II protein complex assembly","HLA-DRA"
"Signature1","MHC class II protein complex assembly","HLA-DPB1"
"Signature1","MHC class II protein complex assembly","HLA-DQB1"
"Signature1","MHC class II protein complex assembly","HLA-DRB1"
"Signature1","MHC class II protein complex assembly","HLA-DMA"
"Signature1","MHC class II protein complex assembly","HLA-DMB"
"Signature1","MHC class II protein complex assembly","HLA-DPA1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DQA2"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DQA1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DRA"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DPB1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DQB1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DRB1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DMA"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DMB"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DPA1"
"Signature1","MHC protein complex assembly","HLA-DQA2"
"Signature1","MHC protein complex assembly","HLA-DQA1"
"Signature1","MHC protein complex assembly","HLA-DRA"
"Signature1","MHC protein complex assembly","HLA-DPB1"
"Signature1","MHC protein complex assembly","HLA-DQB1"
"Signature1","MHC protein complex assembly","HLA-DRB1"
"Signature1","MHC protein complex assembly","HLA-DMA"
"Signature1","MHC protein complex assembly","HLA-DMB"
"Signature1","MHC protein complex assembly","HLA-DPA1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DQA2"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DQA1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DRA"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DPB1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DQB1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DRB1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DMA"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DMB"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DPA1"
"Signature1","MHC class II protein complex assembly","HLA-DQB1"
"Signature1","MHC class II protein complex assembly","HLA-DPB1"
"Signature1","MHC class II protein complex assembly","HLA-DRA"
"Signature1","MHC class II protein complex assembly","HLA-DPA1"
"Signature1","MHC class II protein complex assembly","HLA-DRB1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DQB1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DPB1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DRA"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DPA1"
"Signature1","peptide antigen assembly with MHC class II protein complex","HLA-DRB1"
"Signature1","MHC protein complex assembly","HLA-DQB1"
"Signature1","MHC protein complex assembly","HLA-DPB1"
"Signature1","MHC protein complex assembly","HLA-DRA"
"Signature1","MHC protein complex assembly","HLA-DPA1"
"Signature1","MHC protein complex assembly","HLA-DRB1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DQB1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DPB1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DRA"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DPA1"
"Signature1","peptide antigen assembly with MHC protein complex","HLA-DRB1"
"Signature1","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","IFNG"
"Signature1","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","IL2RG"
"Signature1","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","HLA-DRA"
"Signature1","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","HLA-DRB1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","CDT1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","CDK1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","SKA1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","AURKB"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","SKA3"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","BIRC5"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","NDC80"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","MAD2L1"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","AURKB"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","BIRC5"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","NDC80"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","CDK1"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","AURKB"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","BIRC5"
"Signature2","mitotic spindle midzone assembly","AURKB"
"Signature2","mitotic spindle midzone assembly","BIRC5"
"Signature2","mitotic spindle midzone assembly","PRC1"
"Signature2","mitotic spindle elongation","AURKB"
"Signature2","mitotic spindle elongation","BIRC5"
"Signature2","mitotic spindle elongation","PRC1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","BIRC5"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","CDCA8"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","KIF2C"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","CENPE"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","CDK1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","SKA1"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","NDC80"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","NUF2"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","AURKB"
"Signature2","attachment of mitotic spindle microtubules to kinetochore","SKA3"
"Signature2","mitotic spindle midzone assembly","BIRC5"
"Signature2","mitotic spindle midzone assembly","CDCA8"
"Signature2","mitotic spindle midzone assembly","PRC1"
"Signature2","mitotic spindle midzone assembly","KIF4A"
"Signature2","mitotic spindle midzone assembly","KIF23"
"Signature2","mitotic spindle midzone assembly","AURKB"
"Signature2","mitotic spindle midzone assembly","RACGAP1"
"Signature2","mitotic spindle elongation","BIRC5"
"Signature2","mitotic spindle elongation","CDCA8"
"Signature2","mitotic spindle elongation","PRC1"
"Signature2","mitotic spindle elongation","KIF4A"
"Signature2","mitotic spindle elongation","KIF23"
"Signature2","mitotic spindle elongation","AURKB"
"Signature2","mitotic spindle elongation","RACGAP1"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","BIRC5"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","CDCA8"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","NDC80"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","MAD2L1"
"Signature2","positive regulation of mitotic cell cycle spindle assembly checkpoint","AURKB"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","BIRC5"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","CDCA8"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","CDK1"
"Signature2","regulation of attachment of mitotic spindle microtubules to kinetochore","AURKB"
"Signature3","cytoplasmic translation","RPL13"
"Signature3","cytoplasmic translation","RPL18"
"Signature3","cytoplasmic translation","RPS19"
"Signature3","cytoplasmic translation","RPS12"
"Signature3","cytoplasmic translation","RPL3"
"Signature3","cytoplasmic translation","RPL19"
"Signature3","cytoplasmic translation","RPL28"
"Signature3","cytoplasmic translation","RPS9"
"Signature3","cytoplasmic translation","RPS23"
"Signature3","cytoplasmic translation","RPL5"
"Signature3","cytoplasmic translation","RPS5"
"Signature3","cytoplasmic translation","RPS6"
"Signature3","cytoplasmic translation","RPLP1"
"Signature3","cytoplasmic translation","RACK1"
"Signature3","cytoplasmic translation","RPL7A"
"Signature3","cytoplasmic translation","RPL8"
"Signature3","cytoplasmic translation","RPS7"
"Signature3","cytoplasmic translation","RPL4"
"Signature3","cytoplasmic translation","RPLP0"
"Signature3","cytoplasmic translation","RPL6"
"Signature3","cytoplasmic translation","EEF1D"
"Signature3","cytoplasmic translation","RPS2"
"Signature3","cytoplasmic translation","EIF3D"
"Signature3","cytoplasmic translation","RPS3A"
"Signature3","cytoplasmic translation","PABPC1"
"Signature3","cytoplasmic translation","RPL23"
"Signature3","cytoplasmic translation","RPL12"
"Signature3","cytoplasmic translation","RPS25"
"Signature3","cytoplasmic translation","RPS8"
"Signature3","cytoplasmic translation","RPL29"
"Signature3","cytoplasmic translation","RPL10"
"Signature3","cytoplasmic translation","RPS24"
"Signature3","ribosomal small subunit biogenesis","RPS19"
"Signature3","ribosomal small subunit biogenesis","NOB1"
"Signature3","ribosomal small subunit biogenesis","RPS12"
"Signature3","ribosomal small subunit biogenesis","RPS9"
"Signature3","ribosomal small subunit biogenesis","RPS23"
"Signature3","ribosomal small subunit biogenesis","RPS5"
"Signature3","ribosomal small subunit biogenesis","RPS6"
"Signature3","ribosomal small subunit biogenesis","RPS7"
"Signature3","ribosomal small subunit biogenesis","RPS3A"
"Signature3","ribosomal small subunit biogenesis","RPS25"
"Signature3","ribosomal small subunit biogenesis","RPS8"
"Signature3","ribosomal small subunit biogenesis","NPM1"
"Signature3","ribosomal small subunit biogenesis","RPS24"
"Signature3","ribosome assembly","NOP53"
"Signature3","ribosome assembly","RPS19"
"Signature3","ribosome assembly","RPL5"
"Signature3","ribosome assembly","RPS5"
"Signature3","ribosome assembly","NPM1"
"Signature3","ribosome assembly","NOA1"
"Signature3","ribosomal large subunit biogenesis","NOP53"
"Signature3","ribosomal large subunit biogenesis","RPL5"
"Signature3","ribosomal large subunit biogenesis","RPL7A"
"Signature3","ribosomal large subunit biogenesis","ZNHIT3"
"Signature3","ribosomal large subunit biogenesis","NPM1"
"Signature3","translational elongation","RPLP1"
"Signature3","translational elongation","EEF2"
"Signature3","translational elongation","RACK1"
"Signature3","translational elongation","EEF1A1"
"Signature3","translational elongation","EEF1D"
"Signature4","protein refolding","HSPB2"
"Signature4","protein refolding","CRYAB"
"Signature4","protein refolding","DNAJA4"
"Signature4","protein refolding","HSPA1A"
"Signature4","protein refolding","HSPA1B"
"Signature4","negative regulation of stress-activated protein kinase signaling cascade","PBK"
"Signature4","negative regulation of stress-activated protein kinase signaling cascade","FOXM1"
"Signature4","negative regulation of stress-activated protein kinase signaling cascade","PBK"
