Column,Average
BIRC5,0.26920409166653864
RPL4,0.1825338919350921
IL2RG,0.1642994453165526
IFNG,0.16314427637433876
EEF1A1,0.15829342295068555
CDCA8,0.15361999308933105
RPS25,0.14756547020911404
AURKB,0.13634874136432157
RPL13,0.13359580765407683
MAD2L1,0.1220887654317839
HLA-DQA1,0.10287582540877212
RPS19,0.099354656449324
HSPA1A,0.09610248772216831
KIF23,0.08374210067847747
RPS12,0.07860481791287964
RPS24,0.07076203705400216
CRYAB,0.06980469903927596
RPS8,0.06781706481315777
HLA-DMB,0.059695633679355084
RPS2,0.05592415009454583
PBK,0.05503147333717155
HSPA1B,0.05193891912033717
CDT1,0.048332682129593546
CDK1,0.04465201594815851
EEF1D,0.044536060661404184
HLA-DRB1,0.04179932293686413
KIF2C,0.028839360851263453
MT2A,0.024465366293008602
KIF4A,0.022416450182000003
RPL3,0.019597884199362144
MT1M,0.016975601091464378
HSPB2,0.010363860617382236
RACK1,0.007424372561609828
RPS23,0.007296602109212381
HLA-DQB1,0.0035253388826383242
NUF2,0.002349076396078695
NOP53,0
MT1E,-0.00381807
SKA1,-0.006464024
RPS3A,-0.008104288
HLA-DPB1,-0.008112176
RACGAP1,-0.008180445
RPS5,-0.008771782
RPL5,-0.011956462
RPS7,-0.012146693
HLA-DQA2,-0.017268258
NDC80,-0.021447493
CENPE,-0.022096375
RPL7A,-0.024152153
NOB1,-0.027854052
HLA-DMA,-0.031290758
RPS6,-0.033873158
NOA1,-0.034195288
RPS9,-0.034795971
RPL29,-0.039813188
SKA3,-0.043435963
PRC1,-0.045130462
RPLP1,-0.049431086
FOXM1,-0.063935814
RPLP0,-0.064351038
NPM1,-0.099571312
HLA-DPA1,-0.100350954
EIF3D,-0.102242272
EEF2,-0.105060537
RPL8,-0.108134465
RPL18,-0.112321683
MT1X,-0.119804742
RPL23,-0.124137191
RPL10,-0.137656775
RPL12,-0.173529205
DNAJA4,-0.173783653
HLA-DRA,-0.179506795
PABPC1,-0.182817198
ZNHIT3,-0.184887956
RPL19,-0.214765367
RPL6,-0.22025633
RPL28,-0.230617689
