genesymbol,contribution
RPL28,0.23061768926167234
RPL6,0.22025633015055351
RPL19,0.21476536744199617
ZNHIT3,0.1848879562814908
PABPC1,0.1828171984179524
HLA-DRA,0.179506795265774
DNAJA4,0.17378365322913952
RPL12,0.17352920543004807
RPL10,0.13765677539693108
RPL23,0.12413719105662323
MT1X,0.11980474227203108
RPL18,0.11232168305909417
RPL8,0.10813446511898638
EEF2,0.10506053717890779
EIF3D,0.10224227155490476
HLA-DPA1,0.10035095414230241
NPM1,0.09957131177848648
RPLP0,0.06435103755729821
FOXM1,0.06393581419128498
RPLP1,0.049431085945793214
