"group","Signature","Score","p","p_adj"
"AM","Exhausted",-0.173247993590066,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.254327046419267,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.345571267516762,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.244388085405449,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.149184771375743,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.301012267989025,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.299724471817969,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.247536338199535,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.157904848292439,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.308364207614503,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.203298912772323,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.248489924580662,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.168058820818115,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.36455229533597,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.201506699303411,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.250663307335799,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.176183883081875,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.314555604976521,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.351920301118,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.226518754908559,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.194716162924514,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.375436830835116,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.212646298472496,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.341222895276884,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.167652633028117,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.262720945682733,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.730091060406278,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.26099439192855,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.195985360819208,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.369716509718509,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.279236706704563,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.392570843733063,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.139733987834339,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.247710546610294,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.212114886814908,9.98155367909283e-118,"1.33e-117"
"AM","Resident",1.09492639740807,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.23138809275558,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.366570914298396,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.210625079697798,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.286425235286951,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.154406836332688,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.364526171280184,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.144014341451674,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.238778498008422,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.192804019670343,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.280870112549292,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.183295117740861,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.376350373889629,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.228714031768855,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.0931313929884228,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.577607110096886,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.315301516341612,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.135180285084861,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.321610395124491,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.191924308604469,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.277787797670093,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.196379093724549,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.303990638976163,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.236484646627196,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.258769915760464,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.166753752281497,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.375034544852902,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",-0.218157673298891,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.34097693446908,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.21401571923964,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.338461204677973,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.207051694057337,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.251979404276722,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.290427708177515,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.416100743669747,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.177587675607714,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.156407435788468,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.188581135486784,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.34277346275908,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.716468347939676,9.98155367909283e-118,"1.33e-117"
"AM","Resident",0.250372685724235,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",0.237458741624175,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.149313469529395,5.22838294834446e-197,"1.05e-196"
"AM","Co-stimulatory",0.185975794943462,9.98155367909283e-118,"1.33e-117"
"AM","Resident",-0.410452419445323,9.86706930318095e-295,"3.95e-294"
"AM","Exhausted",-0.245051974298705,2.24076000414201e-06,"2.24e-06"
"AM","Cytotoxicity",-0.400762466072661,5.22838294834446e-197,"1.05e-196"
