"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.81419920437979,0.993,0.407,0,"0","RPL31"
0,1.79017930225187,0.992,0.41,0,"0","RPS20"
0,1.82638086947106,0.968,0.389,0,"0","RPS17"
0,1.91462155079666,0.995,0.418,0,"0","RPL7"
0,1.82291890215609,0.969,0.402,0,"0","RPL36A"
0,1.81466838927444,0.98,0.416,0,"0","RPL38"
0,1.47515800694082,0.977,0.414,0,"0","JUNB"
0,1.86460346635278,0.944,0.385,0,"0","RPL4"
0,1.6394500461531,0.998,0.442,0,"0","RPL23A"
0,1.7369551818287,0.988,0.436,0,"0","RPL10A"
0,1.55138417139738,0.975,0.425,0,"0","RPL27"
0,1.66014132211741,0.998,0.451,0,"0","RPL27A"
0,1.41723813607066,0.881,0.334,0,"0","DNAJB1"
0,1.67739789897733,0.972,0.425,0,"0","RPS5"
0,1.84139458323819,0.998,0.454,0,"0","RPS25"
0,1.78294129064289,0.963,0.419,0,"0","RPLP0"
0,1.65462496960383,0.996,0.453,0,"0","RPS16"
0,1.4805389870442,0.968,0.425,0,"0","RPS11"
0,1.5680620608888,0.988,0.446,0,"0","RPL29"
0,1.54984607780166,0.997,0.455,0,"0","RPL26"
0,1.55516203051261,0.994,0.452,0,"0","RPS9"
0,1.70373409535649,0.953,0.412,0,"0","RPL22"
0,1.68782461271269,0.991,0.45,0,"0","RPS3A"
0,1.84370426833905,0.995,0.455,0,"0","RPS13"
0,1.96437633193479,0.998,0.459,0,"0","RPS6"
0,1.620907584217,0.994,0.455,0,"0","RPL35"
0,1.65328947614725,0.998,0.459,0,"0","RPS15A"
0,1.4884931687217,0.969,0.43,0,"0","UBA52"
0,1.7159137196452,0.991,0.453,0,"0","RPL21"
0,1.8123390649464,0.998,0.461,0,"0","RPL18A"
0,1.38967716716093,0.997,0.462,0,"0","RPL15"
0,1.7209807660729,0.999,0.464,0,"0","RPL35A"
0,1.55948838096444,0.924,0.39,0,"0","CXCR4"
0,1.62764088326534,0.99,0.456,0,"0","RPL9"
0,1.50393736482528,0.996,0.462,0,"0","TPT1"
0,1.40695823694008,0.934,0.4,0,"0","RPL23"
0,1.54747635055875,0.971,0.437,0,"0","RPS21"
0,1.3967601570413,0.971,0.438,0,"0","RPL24"
0,1.61084518099596,0.968,0.435,0,"0","RPS10"
0,1.64940740581934,0.997,0.464,0,"0","RPS4X"
0,1.77800957296231,0.999,0.467,0,"0","RPS29"
0,1.775308377234,0.996,0.464,0,"0","RPL36"
0,1.81740439985104,1,0.469,0,"0","RPS18"
0,1.67238617323054,0.892,0.361,0,"0","RPL17"
0,1.10814269903704,0.967,0.436,0,"0","FTL"
0,1.64832263559044,0.999,0.47,0,"0","RPS23"
0,1.52179817686783,0.986,0.457,0,"0","RPL14"
0,1.71540946784622,0.997,0.468,0,"0","RPL12"
0,1.32512071285606,0.922,0.394,0,"0","HSPA8"
0,1.76608276672967,0.999,0.472,0,"0","RPL13A"
0,1.4340842410808,0.963,0.437,0,"0","RACK1"
0,1.42839068848397,0.884,0.358,0,"0","DNAJA1"
0,1.44804178569132,0.997,0.471,0,"0","RPS3"
0,1.45220809283399,0.944,0.418,0,"0","PFDN5"
0,1.57776578962697,0.99,0.464,0,"0","RPL6"
0,1.66906054349968,1,0.475,0,"0","RPS27"
0,1.50467686296883,0.99,0.466,0,"0","RPL37A"
0,1.52392457312389,0.991,0.467,0,"0","RPL37"
0,1.29122378905596,0.962,0.438,0,"0","UBC"
0,1.75930791572482,0.997,0.474,0,"0","RPL3"
0,1.44056745712446,0.989,0.466,0,"0","RPS7"
0,1.62749500565899,0.989,0.467,0,"0","RPL8"
0,1.61572749608953,0.989,0.467,0,"0","FTH1"
0,1.02616960427871,0.95,0.428,0,"0","UBB"
0,1.75980028833713,0.999,0.478,0,"0","RPS12"
0,1.60070410772988,0.999,0.478,0,"0","RPS19"
0,1.69413667478865,0.999,0.479,0,"0","RPS14"
0,1.5748276529902,0.995,0.475,0,"0","RPL19"
0,1.93835981160048,1,0.481,0,"0","RPL32"
0,1.44925687402216,0.931,0.414,0,"0","EEF1D"
0,1.83826327649693,0.999,0.484,0,"0","RPLP2"
0,1.53602546221974,0.942,0.427,0,"0","RPSA"
0,1.25947696583511,0.995,0.481,0,"0","EIF1"
0,1.64282149306202,1,0.488,0,"0","RPS15"
0,1.72860077827311,1,0.489,0,"0","RPS2"
0,1.25615529640282,0.868,0.358,0,"0","DUSP1"
0,1.56492677199818,0.999,0.489,0,"0","RPL30"
0,1.6367072155278,1,0.493,0,"0","RPS27A"
0,1.14955657547077,0.893,0.387,0,"0","CD52"
0,1.59201867982191,0.729,0.223,0,"0","LTB"
0,1.50191424859493,0.989,0.483,0,"0","RPL18"
0,1.17552597276537,0.952,0.447,0,"0","RPL7A"
0,1.77166110877919,0.997,0.494,0,"0","RPS8"
0,1.3780940347106,0.995,0.492,0,"0","FAU"
0,1.56512992648749,0.84,0.338,0,"0","EEF1B2"
0,1.29667909851436,0.909,0.41,0,"0","NACA"
0,1.84392478676412,1,0.502,0,"0","RPL13"
0,1.82743337350748,0.999,0.502,0,"0","RPL39"
0,1.22035699521357,0.878,0.383,0,"0","FOS"
0,1.99618107254077,0.999,0.506,0,"0","RPL34"
0,1.71572161823966,0.998,0.507,0,"0","RPL11"
